,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
7132,Kaise Kaise Rishte,1993.0,131.0,Romance,4.9,7.0,Akash Mehra,Ayesha Jhulka,Shahbaaz Khan,Vikas Anand
7133,Kaise maare iss zombie ko?,2015.0,111.0,,6.0,55.0,Sunil Rupani,Sundip Ved,,
7134,Kajal,1948.0,131.0,,6.0,55.0,M. Sadiq,Suraiya,Jayant,Amir Banu
7135,Kajarya,2013.0,132.0,Drama,6.6,131.0,Madhureeta Anand,Meenu Hooda,Ridhima Sud,Kuldeep Ruhil
7136,Kajraare,2010.0,112.0,"Crime, Drama, Romance",2.8,404.0,Pooja Bhatt,Himesh Reshammiya,Sara Loren,Amrita Singh
7137,Kajri,2013.0,84.0,Drama,6.0,48.0,Hyder Kazmi,Arpita Singh,,
7138,Kakasparsh,,131.0,Drama,6.0,55.0,Mahesh Manjrekar,Tisca Chopra,,
7139,Kake,2021.0,131.0,,6.0,55.0,Satyam Raj,,,
7140,Kaksparsh,2012.0,140.0,"Drama, Family, History",7.9,779.0,Mahesh Manjrekar,Sachin Khedekar,Priya Bapat,Abhijit Kelkar
7141,Kal Aaj Aur Kal,1971.0,156.0,"Family, Musical, Romance",6.9,308.0,Randhir Kapoor,Prithviraj Kapoor,Raj Kapoor,Babita Kapoor
7142,Kal Hamara Hai,1959.0,127.0,Drama,6.7,18.0,S.K. Prabhakar,Madhubala,Bharat Bhushan,Jayant
7143,Kal Hamara Hai,1981.0,131.0,"Action, Drama",6.0,55.0,Girish Ranjan,Asrani,Aarti Bhattacharya,A.K. Hangal
7144,Kal Hamara Hai,2016.0,131.0,Drama,5.9,9.0,Dhruv Lather,Shivangi Bhayana,Tarun Gahlot,Himanshu Kohli
7145,Kal Ho Naa Ho,2003.0,186.0,"Comedy, Drama, Musical",7.9,64972.0,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
7146,Kal Ki Awaz,1992.0,162.0,Action,6.2,65.0,B.R. Chopra,Ravi Chopra,Dharmendra,Raj Babbar
7147,Kal Ki Baat,1937.0,131.0,,6.0,55.0,R.S. Choudhury,Mubarak,,
7148,Kal Ki Baatein,1992.0,131.0,Drama,6.0,55.0,,,,
7149,Kal Kissne Dekha,2009.0,134.0,"Action, Crime, Romance",3.6,435.0,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno
7150,Kal Kya Hoga,1958.0,131.0,Drama,6.0,55.0,Manher Desai,Anita Guha,Heera Sawant,Shammi
7151,Kal Nahin Aaj,1987.0,131.0,Drama,6.0,55.0,,,,
7152,Kal Subah,1978.0,131.0,Romance,6.0,55.0,,,,
7153,Kal: Yesterday and Tomorrow,2005.0,120.0,"Drama, Mystery, Thriller",6.3,111.0,Ruchi Narain,Shiney Ahuja,Murad Ali,Ahmed Chaudhary
7154,Kala Aadmi,1960.0,140.0,"Action, Drama, Mystery",6.0,7.0,Ved-Madan,Ashok Kumar,Shyama,Johnny Walker
7155,Kala Bazaar,1989.0,160.0,"Action, Drama",5.5,203.0,Rakesh Roshan,Anil Kapoor,Jackie Shroff,Farha Naaz
7156,Kala Bazar,1960.0,163.0,"Crime, Drama, Musical",7.4,262.0,Vijay Anand,Dev Anand,Waheeda Rehman,Nanda
7157,Kala Bazar,1975.0,131.0,Action,6.0,55.0,,,,
7158,Kala Bhoot,1937.0,131.0,Horror,6.0,55.0,A.M. Khan,Bashir,Bose,Gohar Karnataki
7159,Kala Chashma,1962.0,131.0,Thriller,6.0,55.0,Amarnath,Madan Puri,,
7160,Kala Chor,1956.0,131.0,Action,6.0,55.0,Amarnath,Chitra,Kumkum,Iqbal Mishra
7161,Kala Coat,1993.0,131.0,"Action, Crime, Drama",3.3,6.0,Mehmood Khan,Kapil Karzan,Meera Madhuri,Bandini Mishra
7162,Kala Devta,1984.0,131.0,Horror,6.0,55.0,Ashok Neemrania,,,
7163,Kala Dhanda Goray Log,1986.0,158.0,"Drama, Family",5.7,35.0,Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
7164,Kala Ghoda,1963.0,131.0,"Action, Thriller, Western",6.0,55.0,A. Shamsheer,Azaad Irani,Indira,Shyam Kumar
7165,Kala Gulab,1933.0,131.0,,6.0,55.0,Sayani Atish,Feroze Dastur,Jal Khambatta,Sharifa
7166,Kala Jadu,1963.0,131.0,Fantasy,6.0,55.0,Khurshid Bawra,Hercules,Jugnu,Maqbool
7167,Kala Jigar,1939.0,131.0,,3.3,173.0,Iqbal,,,
7168,Kala Naag,1934.0,131.0,,6.0,55.0,Dulari,Jamshedji,,
7169,Kala Pahad,1933.0,131.0,,6.0,55.0,Bhim,Gohar,Navinchandra,
7170,Kala Pani,1958.0,164.0,"Crime, Musical, Romance",7.1,277.0,Raj Khosla,Dev Anand,Madhubala,Nalini Jaywant
7171,Kala Pani,1980.0,126.0,Action,5.6,16.0,Shibu Mitra,Shashi Kapoor,Neetu Singh,Bindu
7172,Kala Patthar,1944.0,131.0,Drama,6.0,55.0,Dwarka Khosla,,,
7173,Kala Pila,2022.0,131.0,Drama,6.0,55.0,Limosh Pawar,,,
7174,Kala Sach: The Black Truth,2014.0,120.0,Drama,6.0,55.0,Mayank Prakash Srivastava,Pakhi Hegde,Mushtaq Khan,Himani Shivpuri
7175,Kala Samundar,1962.0,131.0,Action,6.0,55.0,Chitra,Hiralal,Paidi Jairaj,Maruti
7176,Kala Suraj,1985.0,131.0,"Action, Drama",4.3,6.0,Desh Gautam,Shatrughan Sinha,Sulakshana Pandit,Rakesh Roshan
7177,Kala Swar,1935.0,131.0,,6.0,55.0,Navinchandra,,,
7178,Kala Wagh,1934.0,131.0,,6.0,55.0,Nagendra Majumdar,Bapurao Apte,Bhim,Gohar
7179,Kalaakaar,1983.0,131.0,"Family, Romance",6.2,76.0,P. Sambasiva Rao,Kunal Goswami,Sridevi,Rakesh Bedi
7180,Kalabaaz,1977.0,145.0,"Action, Adventure, Drama",6.4,29.0,Ashok Roy,Dev Anand,Zeenat Aman,Pradeep Kumar
7181,Kalaignan,1993.0,143.0,"Action, Drama, Thriller",6.3,221.0,G.B. Vijay,Kamal Haasan,Bindiya,Farheen
7182,Kalakar,1954.0,131.0,,6.0,55.0,Anant Mane,Agha,Dhumal,Raja Gosavi
7183,Kalakar,1942.0,131.0,Drama,6.0,55.0,Jal Merchant,,,
7184,Kalakar,1951.0,131.0,,6.0,55.0,Agha,,,
7185,Kalank,1979.0,131.0,Drama,5.4,12.0,Michael Chinappa,,,
7186,Kalank,2019.0,166.0,"Drama, Romance",3.6,11873.0,Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit
7187,Kalankini Based on the Novel by Gulshan Nanda 1993,1993.0,120.0,"Drama, Family, Romance",6.0,55.0,Dharam Panesar,Dharam Panesar,Subhi Raaj,Jalees Sherwani
7188,Kalasi Palya Junction,2004.0,131.0,Action,6.0,55.0,,,,
7189,Kalavu,2012.0,126.0,"Comedy, Drama, Family",6.0,55.0,Ravi M,Pramila Bengre,Shivaji Rao Jadhav,Hulugappa Kattimani
7190,Kali Basti,1985.0,131.0,"Action, Thriller",6.0,55.0,Sudesh Issar,Shatrughan Sinha,Reena Roy,Vijayendra Ghatge
7191,Kali Dada,1987.0,131.0,Action,6.0,55.0,Bhanupriya,Charan Raj,,
7192,Kali Ganga,1990.0,131.0,Action,4.0,16.0,Raj N. Sippy,Dimple Kapadia,Suresh Oberoi,Govinda
7193,Kali Ghata,1951.0,145.0,"Drama, Romance",6.3,9.0,Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
7194,Kali Ghata,1980.0,131.0,"Romance, Thriller, Mystery",5.8,33.0,Ved Rahi,Shashi Kapoor,Rekha,Danny Denzongpa
7195,Kali Raat,1977.0,131.0,"Drama, Mystery",6.0,55.0,Shriram Bohra,Yogeeta Bali,Faryal,Rajan Haksar
7196,Kali Salwaar,2002.0,112.0,Drama,6.2,95.0,Fareeda Mehta,Sadiya Siddiqui,Irrfan Khan,Surekha Sikri
7197,Kali Topi Lal Rumal,1959.0,129.0,"Musical, Romance",5.7,15.0,Tara Harish,Shakila,Chandrashekhar,Agha
7198,Kali Waghan,1935.0,131.0,,6.0,55.0,Shakuntala Paranjpye,,,
7199,Kalia Mardan,1935.0,131.0,,6.0,55.0,Bhalji Pendharkar,Indubala,,
7200,Kalichaat,2018.0,70.0,Drama,8.0,6.0,Sudhanshu Sharma,Prakash Deshmukh,Virendra Kumar Nathenial,Geetika Shyam
7201,Kalicharan,1976.0,143.0,"Action, Adventure, Crime",6.7,251.0,Subhash Ghai,Shatrughan Sinha,Reena Roy,Ajit
7202,Kalicharan,1998.0,131.0,Action,4.9,11.0,Imran Khalid,Ishrat Ali,Monica Bedi,Bob Christo
7203,Kalidas,1931.0,131.0,"Drama, History, Musical",6.2,12.0,H.M. Reddy,T.P. Rajalakshmi,P.G. Venkatesan,L.V. Prasad
7204,Kalinga,1996.0,131.0,Drama,6.0,55.0,Dilip Kumar,Jackie Shroff,Dilip Kumar,Meenakshi Sheshadri
7205,Kaliyon Ki Aawaz,1982.0,131.0,Romance,6.0,55.0,Ratna Baburao,Gummadi,Koganti,
7206,Kalka,1983.0,131.0,Drama,6.0,8.0,Loksen Lalvani,Shatrughan Sinha,Raj Babbar,Rameshwari
7207,Kalkoot,1935.0,131.0,,6.0,55.0,Baburao Pendharkar,,,
7208,Kalloori Vaasal,1996.0,135.0,"Comedy, Romance",5.1,159.0,Pavithran,Ajith Kumar,Prashanth,Pooja Bhatt
7209,Kallu Handsome,2021.0,131.0,Drama,6.0,55.0,Reyansh Behl,Anshumann Chaturvedi,Ritesh s Kumar,Ravi Mann
7210,Kalo Cheetah,2004.0,131.0,Family,6.0,55.0,Satarupa Sanyal,Sharad S. Kapoor,Baisakhi Marjit,Subhasish Mukherjee
7211,Kalpana,1960.0,131.0,Romance,7.1,19.0,R.K. Rakhan,Ashok Kumar,Padmini,Ragini
7212,Kalpana,1948.0,122.0,Musical,6.7,39.0,Uday Shankar,Lakshmi Kanta,Usha Kiran,Lalitha
7213,Kalpataru ( the Tree) 2020,,101.0,Drama,6.0,55.0,Pramode Kumar,Ravi Shankar Prasad,Pramode Kumar,Sonamoni Jayant Gadekar
7214,Kalsandhya,1997.0,124.0,Drama,7.2,13.0,Bhabendra Nath Saikia,Hemen Barman,Munin Barua,Mridula Baruah
7215,Kalyani,1940.0,131.0,Drama,6.0,55.0,Premankur Atorthy,Rattan Bai,W.M. Khan,Ghulam Mohammed
7216,Kalyani,1993.0,131.0,Drama,6.0,55.0,,,,
7217,Kalyug,1981.0,152.0,Drama,7.8,501.0,Shyam Benegal,Shashi Kapoor,Rekha,Raj Babbar
7218,Kalyug,2005.0,126.0,"Action, Crime, Drama",6.5,2566.0,Mohit Suri,Kunal Khemu,Deepal Shaw,Smiley Suri
7219,Kalyug,2013.0,74.0,Documentary,6.0,55.0,Juri Mazumdar,,,
7220,Kalyug 5000,2004.0,131.0,Thriller,6.0,55.0,Kamlesh Balani,Preeti Bhutani,Rahul Manchanda,Monica Sopad
7221,Kalyug Aur Ramayan,1987.0,131.0,Drama,4.4,53.0,Babubhai Mistry,Manoj Kumar,Rajiv Goswami,Madhavi
7222,Kalyug Ka Pandav,1999.0,165.0,Action,6.0,55.0,D. Rajendra Babu,Ambarish,Ravi Babu,Charulatha
7223,Kalyug Ke Avtaar,1995.0,131.0,"Action, Romance",3.2,13.0,Shyam Ralhan,Jeetendra,Reena Roy,Madhoo
7224,Kalyug Ki Sita,1983.0,131.0,Drama,6.0,55.0,,,,
7225,Kama Sastra,2001.0,131.0,Thriller,6.0,55.0,,,,
7226,Kama Sundari,2001.0,130.0,Thriller,5.2,17.0,Balvinder Sandhu,Monica Castelino,Nagesh Bhonsle,Satyendra Kapoor
7227,Kama Tantra,1999.0,131.0,Thriller,6.0,55.0,Ashok Kumar,Deepti Bhatnagar,Asha Mehra,Satya Prakash
7228,Kamaal Dhamaal,2004.0,131.0,Comedy,6.0,55.0,Pradeep Pradhan,,,
7229,Kamaal Dhamaal Malamaal,2012.0,148.0,"Comedy, Drama",4.1,750.0,Priyadarshan,Nana Patekar,Shreyas Talpade,Om Puri
7230,Kamaal Ki Chhokri,2001.0,131.0,Thriller,6.0,55.0,,,,
7231,Kamakshee: The Fire of Love,2004.0,131.0,Thriller,6.0,55.0,Sandeep Bhatt,Milind Gunaji,Dinesh Hingoo,Mohan Joshi
7232,Kamal,1949.0,131.0,Romance,6.0,55.0,Jeevan,Madan Puri,Lalitha Rao,
7233,Kamal Ke Phool,1950.0,131.0,"Drama, Family",6.0,55.0,D.D. Kashyap,Amarnath,Suraiya,Jeevan
7234,Kamasutra 3D,2013.0,110.0,"Drama, Romance",6.5,510.0,Rupesh Paul,Mohan Kapur,Abha Paul,Makrand Deshpande
7235,Kambakkht Ishq,2009.0,142.0,"Action, Comedy, Romance",3.9,6741.0,Sabir Khan,Sylvester Stallone,Denise Richards,Brandon Routh
7236,Kambal,,90.0,Drama,6.0,55.0,Mohit Nirmala,Sunanda Sathe,Mahesh Raipurkar,Sameer Shinde
7237,Kameena Kahin Kaa,1989.0,131.0,Thriller,6.0,55.0,P. Chandrasekhar,Sadashiv Amrapurkar,Anuradha,Kapil Karzan
7238,Kameshwari,2000.0,71.0,Thriller,6.0,55.0,Aman Sagar,Shakeela,,
7239,Kaminaa Pyasa Pati,2000.0,131.0,Thriller,6.0,55.0,,,,
7240,Kaminey,2009.0,130.0,"Action, Crime, Drama",7.4,16640.0,Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee
7241,Kamini,2020.0,131.0,Horror,6.0,55.0,Pran,Chethan,Shobha Rani,Rohith
7242,Kamini,1958.0,131.0,Romance,6.0,55.0,,,,
7243,Kamla,1984.0,120.0,Drama,7.1,55.0,Jag Mundhra,Shabana Azmi,Deepti Naval,Marc Zuber
7244,Kamla Ki Maut,1989.0,95.0,Drama,7.2,212.0,Basu Chatterjee,Pankaj Kapur,Supriya Pathak,Roopa Ganguly
7245,Kamlabai,1992.0,46.0,Documentary,7.6,8.0,Reena Mohan,Kamlabai Gokhale,,
7246,Kamroo Desh Ki Kamini,1935.0,131.0,Action,6.0,55.0,A.R. Kabuli,Swaroop Rani,Ashraf Khan,Sultana
7247,Kamsin,1992.0,131.0,Romance,6.0,55.0,Rita Bhaduri,Dan Dhanoa,Tina Ghai,Ved Goswami
7248,Kamsin Haseena,1990.0,131.0,Thriller,6.0,55.0,Abhilasha,P.L. Ahuja,Rita Bhaduri,Satish Kumar
7249,Kamsin Kali,1991.0,131.0,Thriller,6.0,55.0,,,,
7250,Kamsin Saali Bani Gharwali,1996.0,131.0,Thriller,6.0,55.0,,,,
7251,Kamsin: The Untouched,1997.0,88.0,Drama,5.1,12.0,Amit Suryavanshi,Birbal,K.K. Goswami,Jyoti
7252,Kan Kan Men Bhagwan,1963.0,124.0,"Adventure, Drama, Fantasy",5.8,10.0,Babubhai Mistry,Anita Guha,Mahipal,Ram Singh
7253,Kanak Kanta,1928.0,131.0,,6.0,55.0,Anand Prasad Kapoor,Mehar Banu,Lobo,Ata Mohammed
7254,Kanave Kalaiyadhe,1999.0,157.0,"Action, Drama",6.0,22.0,V. Gowthaman,Sabitha Anand,Charlie,Chinnijayanth
7255,Kanch Aur Heera,1972.0,131.0,Romance,6.0,55.0,Charandas Shokh,Chetan Anand,Rajan Haksar,Kamal Kapoor
7256,Kanch Ki Gudiya,1961.0,131.0,"Drama, Family",4.7,7.0,Harnam Singh Rawail,Manoj Kumar,Sayeeda Khan,Shubha Khote
7257,Kanchan,1941.0,131.0,,6.0,55.0,Leela Chitnis,Leela Chitnis,Vimala Vasishta,Arun
7258,Kanchan,1955.0,131.0,Romance,6.0,55.0,Ajit,Paidi Jairaj,Ranjana,D.K. Sapru
7259,Kanchan Aur Ganga,1982.0,131.0,,6.0,55.0,Mehul Kumar,Aruna Irani,Satyendra Kapoor,Arvind Kumar
7260,Kanchani Aaj Bhi Hai,2019.0,133.0,Horror,6.0,55.0,Som Vats,Akash Faujdar,,
7261,Kandy Twist,2019.0,113.0,Drama,8.2,8.0,Shiva Rindani,Dinero Ash,Pari Chaudhary,Greg de Sousa
7262,Kaneez,1949.0,140.0,"Drama, History",6.2,5.0,Krishna Kumar,Munawwar Sultana,Shyam,Urmila
7263,Kangan,1939.0,139.0,"Drama, Romance",6.0,55.0,Franz Osten,Leela Chitnis,Ashok Kumar,V.H. Desai
7264,Kangan,1959.0,144.0,Mystery,6.8,9.0,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
7265,Kangan,1971.0,139.0,Drama,6.6,16.0,K.B. Tilak,Ashok Kumar,Mala Sinha,Sanjeev Kumar
7266,Kanhaiya,1959.0,175.0,"Romance, Drama, Family",6.7,45.0,Om Prakash,Raj Kapoor,Nutan,Lalita Pawar
7267,Kanhaiyaa,1981.0,131.0,"Action, Crime, Drama",5.4,5.0,Khalid Sami,Master Amit,Master Chaitanya,Asha Chandra
7268,Kanjoos,1950.0,131.0,Drama,6.0,55.0,K. Amarnath,,,
7269,Kankaal,,131.0,Comedy,6.0,55.0,Kamal Swaroop,,,
7270,Kanmani,1994.0,137.0,"Drama, Romance",3.7,7.0,R.K. Selvamani,Jaishankar,Mansoor Ali Khan,Lakshmi
7271,Kannan Varuvaan,2000.0,135.0,Romance,5.8,39.0,Sundar C.,Karthik,Mantra,Divyaa Unni
7272,Kanoon,1943.0,131.0,,6.0,55.0,Abdul Rashid Kardar,Shahu Modak,Miss Mehtab,Badri Prasad
7273,Kanoon,1960.0,150.0,"Drama, Crime, Mystery",7.9,415.0,B.R. Chopra,Rajendra Kumar,Ashok Kumar,Nanda
7274,Kanoon,1994.0,104.0,"Action, Drama",3.1,135.0,Sushma Shiromani,Ajay Devgn,Urmila Matondkar,Kiran Kumar
7275,Kanoon Apna Apna,1989.0,162.0,"Action, Crime, Drama",5.6,146.0,Gopal B.,Dilip Kumar,Nutan,Sanjay Dutt
7276,Kanoon Aur Mujrim,1981.0,112.0,"Action, Drama",6.0,55.0,Sham Jethani,Bharat Kapoor,Padma Khanna,Madhu Malini
7277,Kanoon Aur Sazaa,1992.0,131.0,Action,6.0,55.0,Raj Bharat,Chiranjeevi,Satya Narayan,Radha
7278,Kanoon Ka Harz,1989.0,131.0,"Comedy, Drama, Family",6.0,55.0,Prem Chopra,,,
7279,Kanoon Ka Sikandar,2001.0,131.0,Action,6.0,55.0,Girish Dubey,Dharmendra,Girish Dubey,Girish Dubey
7280,Kanoon Kanoon Hai,1987.0,131.0,Action,6.0,55.0,Parveen Bala,Ramesh Deo,Kalpana Iyer,Jamuna
7281,Kanoon Ke Dushman,1980.0,131.0,Action,6.0,55.0,Puratchchidasan,Jayamalini,Pandharibai,Rajinikanth
7282,Kanoon Ki Hathkadee,1988.0,131.0,Action,4.0,9.0,K. Bapaiah,Sridevi,Krishna,Gummadi
7283,Kanoon Ki Jung,2000.0,131.0,Action,6.0,55.0,Teshi Venkatesh,Sai Kumar,Rama Murthy,Anant Nag
7284,Kanoon Ki Lalkaar,2000.0,131.0,Action,6.0,55.0,Ha Su Rajashekar,Saikumar,Vineetha,
7285,Kanoon Ki Zanjeer,1990.0,131.0,"Action, Crime",4.2,11.0,P. Lakshman,Dharmendra,Jaya Prada,Raj Babbar
7286,Kanoon Kya Karega,1984.0,131.0,Thriller,6.2,45.0,Mukul Anand,Suresh Oberoi,Deepti Naval,Iftekhar
7287,Kanoon Meri Mutthi Mein,1984.0,131.0,Action,6.6,5.0,Chand,K. Prasad,Raj Babbar,Parveen Babi
7288,Kanoon Se Rishta,1995.0,131.0,Action,6.0,55.0,Vishwa Naidu,,,
7289,Kanpur Ke Sholay,2019.0,145.0,Drama,6.0,55.0,Alam Siddiqui,Gulfam Khan,Ajay Tripathi,
7290,Kanpuriye,2019.0,103.0,Drama,6.3,1098.0,Ashish Aryan,Aparshakti Khurana,Divyendu Sharma,Vijay Raaz
7291,Kanwarlal,1988.0,150.0,"Action, Drama",4.6,18.0,S.S. Ravichandra,Salma Agha,Arjun,Raj Babbar
7292,Kanya Dweep,1982.0,131.0,Musical,6.0,55.0,Ramanna,Vijaya Chandrika,Ranjeet,Radhika Sarathkumar
7293,Kanya Vikraya,1934.0,131.0,,6.0,55.0,Mohammed Hussain,Patience Cooper,,
7294,Kanya Vikraya,1923.0,131.0,,6.0,55.0,V.S. Nirantar,Bhaurao Datar,Krishna Chauhan,
7295,Kanyadaan,1968.0,149.0,"Drama, Romance",7.3,78.0,Mohan Segal,Asha Parekh,Shashi Kapoor,Sayeeda Khan
7296,Kanyadaan,2017.0,114.0,Drama,6.9,17.0,Akshay Dinesh Vaishnav,Deepika Amin,Mrinmayee Godbole,Darshan Jariwala
7297,Kapal Kundala,1939.0,131.0,,6.0,55.0,Nitin Bose,Phani Majumdar,Sailen Choudhury,Leela Desai
7298,Kapat,2017.0,131.0,"Mystery, Thriller",6.0,55.0,Milinnd Sagar,Aakriti Bisaria,Bhaumik Sampat,V.P.G. Panicker
7299,Kaphal: Wild Berries,2013.0,90.0,"Action, Adventure, Drama",8.2,45.0,Batul Mukhtiar,Hema Bisht,Ramkishan Choyal,Subrat Dutta
7300,Kapoor & Sons,2016.0,132.0,"Comedy, Drama, Family",7.7,23991.0,Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
7301,Kar Bhala,1956.0,131.0,"Action, Adventure",6.0,55.0,Master Bhagwan,Master Bhagwan,Nasir Khan,Malika
7302,Karam,2005.0,117.0,"Action, Crime, Drama",5.5,1324.0,Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
7303,Karamati Coat,1993.0,86.0,"Comedy, Family, Fantasy",7.1,182.0,Ajay Karthik,Prachi Save,Swapnesh Sawant,Vikram Acharya
7304,Karamdaata,1986.0,131.0,Drama,5.7,21.0,Shashilal K. Nair,Shammi Kapoor,Mithun Chakraborty,Amrita Singh
7305,Karamveer,2004.0,165.0,Action,6.0,55.0,Dinesh Chaudhary,Uttar Kumar,Suman Negi,Dev Sharma
7306,Karan,1994.0,120.0,Action,4.0,23.0,Shiv Kumar,Virender Razdan,Prem Chopra,Balwant Dullat
7307,Karan Arjun,1995.0,175.0,"Action, Drama, Fantasy",6.8,13394.0,Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan
7308,Karar: The Deal,2014.0,115.0,Thriller,4.2,64.0,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
7309,Karate,1983.0,127.0,"Action, Drama, Musical",6.2,56.0,Deb Mukherjee,Mithun Chakraborty,Deb Mukherjee,Kaajal Kiran
7310,Karate Kawach,,131.0,Action,6.0,55.0,Sagar Joshi,Laxman Singh Rajput,Abhishek Khanna,Sneha Sharma
7311,Karavas,2005.0,131.0,Drama,6.0,55.0,Pankaj Berry,Dev Gill,Swati Vajpayee,Manish Wadhwa
7312,Kareeb,1998.0,145.0,"Drama, Romance",6.5,1094.0,Vidhu Vinod Chopra,Bobby Deol,Shabana Raza,Abhay Chopra
7313,Karigar,1958.0,136.0,Drama,6.0,55.0,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Om Prakash
7314,Karim Mohammed,2018.0,99.0,Drama,4.8,30.0,Pawan Kumar Sharma,Alka Amin,Veer Gujjar,Rajesh Jais
7315,Karishma Kali Kaa,1990.0,131.0,Horror,4.1,13.0,Ashok Punjabi,Amrita Singh,Shatrughan Sinha,Urmila Bhatt
7316,Karishma Kismat Ka,1990.0,131.0,Action,6.0,55.0,Urmila Bhatt,Bharat Bhushan,Sahila Chaddha,Leena Das
7317,Karishma Kudrat Kaa,1985.0,185.0,"Action, Drama",6.1,57.0,Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
7318,Karishma: Jamal Tree,1982.0,131.0,Drama,6.0,55.0,,,,
7319,Karishmaa,1984.0,130.0,"Crime, Thriller",6.5,43.0,I.V. Sasi,Kamal Haasan,Reena Roy,Tina Ambani
7320,Karle Pyaar Karle,2014.0,110.0,"Action, Romance",2.7,128.0,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
7321,Karlo Timepass Yaar,2015.0,128.0,Romance,6.0,55.0,Vajsi Ahir,Charu Mehra,Tiku Talsania,
7322,Karm,1977.0,156.0,"Drama, Family",6.7,72.0,B.R. Chopra,Rajesh Khanna,Vidya Sinha,Shabana Azmi
7323,Karm Kasauti,1989.0,131.0,Drama,6.0,55.0,Sharad Chaudhary,Sulabha Deshpande,Nana Patekar,Rameshwari
7324,Karma,1986.0,193.0,"Action, Adventure, Drama",7.4,1946.0,Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
7325,Karma,2021.0,105.0,"Drama, Romance",6.0,55.0,Kartik Swaminathan Venkatraman,Johnny Serret,Sagar Sharma,Puja S
7326,Karma 1935,1935.0,131.0,Drama,6.0,55.0,J.L. Freer-Hunt,,,
7327,Karma Veer,1938.0,131.0,,6.0,55.0,Hiralal,,,
7328,"Karma, Confessions and Holi",2009.0,110.0,Drama,2.9,125.0,Manish Gupta,Rati Agnihotri,Armin Amiri,Kulraaj Anand
7329,Karma: Crime. Passion. Reincarnation,2008.0,97.0,"Crime, Drama, Mystery",5.0,105.0,M.R. Shahjahan,Alma S. Grey,Carl Weyant,Vijayendra Ghatge
7330,Karmayogi,1978.0,131.0,"Action, Drama",6.0,42.0,Ram Maheshwari,Mala Sinha,Raaj Kumar,Jeetendra
7331,Karmon Kee Sazaa,1995.0,131.0,Action,6.0,55.0,Anil Pandit,Pankaj Dheer,Arjun,Vidyashree
7332,Karmveer,1980.0,131.0,Action,7.6,15.0,Mohan Babu,Sarath Babu,Anjali Devi,Jayamalini
7333,Karmveer- The Pursuit of Dreams,2020.0,131.0,Drama,6.0,55.0,Ganesh Loke,Asmi,Ganesh Loke,Tejal
7334,Karmyoddha,1992.0,131.0,"Action, Drama",6.2,22.0,Dayal Nihalani,Raj Babbar,Dimple Kapadia,Javed Jaffrey
7335,Karmyudh,1985.0,130.0,Action,4.4,16.0,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
7336,Karna,1928.0,131.0,"Action, Drama, History",6.0,55.0,Vishnupant Govind Damle,Sheikh Fattelal,Keshavrao Dhaiber,Kamaladevi
7337,Karna,1922.0,131.0,"Action, Drama, History",6.0,55.0,Shree Nath Patankar,Raja Sandow P.K.,,
7338,Karnam Malleswari Biopic,2021.0,131.0,Sport,6.0,55.0,Sanjana Reddy,,,
7339,Karnika,2021.0,131.0,Drama,6.0,55.0,Rupender Verma,,,
7340,Karo Na... Pyar,2006.0,131.0,Thriller,6.0,55.0,K. Bhushan,Mallika Arora,Pooja Chopra,Milind Gunaji
7341,Karobaar: The Business of Love,2000.0,180.0,"Drama, Romance",4.4,237.0,Rakesh Roshan,Juhi Chawla,Anil Kapoor,Rishi Kapoor
7342,Karodpati,1936.0,131.0,,6.0,55.0,Hemchandra Chunder,Sardar Akhtar,Durgadas Bannerjee,Devbala
7343,Karodpati,1936.0,131.0,,6.3,9.0,Radhakrishan,Shashikala,K.N. Singh,
7344,Kartavya,1995.0,131.0,"Action, Drama, Thriller",5.0,58.0,Raj Kanwar,Sanjay Kapoor,Juhi Chawla,Moushumi Chatterjee
7345,Kartavya,1979.0,168.0,"Action, Drama",7.0,55.0,Mohan Segal,Dharmendra,Rekha,Nirupa Roy
7346,Kartavya: Lion on Duty,2004.0,131.0,Action,6.0,55.0,Ramya Krishnan,Prakash Raj,Sakshi Shivanand,Vijayakanth
